#YY  MM DD  WSPD WVHT ATMP  WTMP
#yr  mo dy  m/s     m degC  degC
2020 06 03  3.0  0.33 15.6  13.7
2020 06 03  2.9  0.36 15.7  13.8
2020 06 03  2.9  0.35 15.8  13.8
2020 06 03  2.8  0.33 15.7  13.8
2020 06 03  5.5  0.31 16.2  13.8
2020 06 03  7.9  0.32 17.0  13.8
2020 06 03  8.8  0.36 17.0  13.7
2020 06 03  7.2  0.44 16.5  13.7
2020 06 03  7.7  0.44 16.4  13.7
2020 06 03  9.9  0.43 16.0  13.8
2020 06 03 10.5  0.54 15.2  13.8
2020 06 03  8.6  0.67 14.7  13.8
2020 06 03  8.2  0.74 15.4  13.8
2020 06 03  6.0  0.80 15.1  13.8
2020 06 03  7.8  0.90 15.6  13.9
2020 06 03  6.7  0.95 16.0  13.9
2020 06 03  4.7  0.87 16.2  13.9
2020 06 03  3.2  0.95 15.4  13.9
2020 06 03  2.5  1.15 15.1  14.0
2020 06 03  1.8  0.96 16.3  14.1
2020 06 03  3.8  0.79 15.6  14.1
2020 06 03  3.7  0.70 15.3  14.1
2020 06 03  3.3  0.74 16.1  14.1
2020 06 03  4.0  0.71 17.2  14.1
2020 06 03  5.2  0.68 15.9  14.1
2020 06 03  7.7  0.64 14.9  14.2
2020 06 03  8.9  0.66 14.1  14.2
2020 06 03  6.5  0.86 14.0  14.2
2020 06 03  5.7  0.88 14.5  14.2
2020 06 03  5.4  0.86 15.1  14.2
2020 06 03  6.2  0.83 15.0  14.2
2020 06 03  7.2  0.87 15.2  14.2
2020 06 03  6.6  0.89 14.9  14.3
2020 06 03  6.0  0.82 14.8  14.3
2020 06 03  4.9  0.74 14.9  14.3
2020 06 03  3.3  0.77 15.3  14.3
2020 06 03  3.4  0.79 15.4  14.3
2020 06 03  3.6  0.75 14.8  14.3
2020 06 03  4.5  0.73 14.6  14.2
2020 06 03  3.7  0.77 14.5  14.2
2020 06 03  4.8  0.74 14.5  14.2
2020 06 03  6.6  0.77 14.5  14.2
2020 06 03  7.9  0.82 14.7  14.2
2020 06 03  7.3  0.85 13.9  14.2
2020 06 03  6.8  0.87 15.1  14.2
2020 06 03  5.5  0.86 15.4  14.2
2020 06 03  5.8  0.89 15.5  14.2
2020 06 03  6.4  1.05 15.3  14.2
2020 06 03  5.4  0.89 15.4  14.2
2020 06 03  5.5  0.92 15.5  14.2
2020 06 03  5.4  0.88 15.6  14.2
2020 06 03  5.7  0.89 15.8  14.2
2020 06 03  5.2  0.88 15.8  14.2
2020 06 03  4.3  0.88 15.3  14.1
2020 06 03  3.5  0.79 14.8  14.1
2020 06 03  3.4  0.72 14.7  14.1
2020 06 03  4.3  0.70 15.0  14.1
2020 06 03  5.4  0.65 15.5  14.1
2020 06 03  7.1  0.61 16.1  14.1
2020 06 03  7.4  0.66 16.1  14.1
2020 06 03  7.1  0.68 15.7  14.1
2020 06 03  7.2  0.67 15.5  14.1
2020 06 03  6.8  0.70 15.4  14.1
2020 06 03  6.3  0.72 15.3  14.0
2020 06 03  6.4  0.74 15.2  14.0
2020 06 03  6.0  0.64 15.0  14.0
2020 06 03  5.3  0.65 14.7  14.0
2020 06 03  5.2  0.66 14.8  14.0
2020 06 03  4.9  0.67 14.7  14.0
2020 06 03  2.8  0.72 14.6  13.9
2020 06 03  1.4  0.61 14.7  13.9
2020 06 03  1.1  0.64 14.4  13.9
2020 06 03  1.1  0.63 14.6  13.9
2020 06 03  2.6  0.63 14.6  13.9
2020 06 03  3.0  0.65 14.3  13.9
2020 06 03  3.3  0.69 14.1  13.9
2020 06 03  3.3  0.72 13.7  13.9
2020 06 03  2.9  0.64 13.6  13.9
2020 06 03  2.7  0.57 13.4  13.9
2020 06 03  2.4  0.51 13.1  13.9
2020 06 03  2.2  0.55 13.2  13.9
2020 06 03  2.1  0.51 13.6  13.9
2020 06 03  1.3  0.48 13.8  14.0
2020 06 03  0.6  0.64 13.9  14.0
2020 06 03  0.7  0.57 14.0  14.0
2020 06 03  0.4  0.59 14.2  14.0
2020 06 03  2.4  0.58 14.3  14.0
2020 06 03  3.6  0.49 14.2  14.0
2020 06 03  4.3  0.50 14.3  14.0
2020 06 03  4.1  0.51 14.5  14.0
2020 06 03  3.6  0.48 14.7  14.0
2020 06 03  2.9  0.45 14.8  14.1
2020 06 03  3.5  0.48 14.8  14.3
2020 06 03  3.2  0.44 14.7  14.1
2020 06 03  2.6  0.50 14.7  14.2
2020 06 03  2.4  0.46 14.6  14.3
2020 06 03  2.7  0.51 14.7  14.4
2020 06 03  2.0  0.44 14.7  14.5
2020 06 03  1.5  0.45 15.0  14.5
2020 06 03  1.7  0.45 15.0  14.5
2020 06 03  2.6  0.45 14.9  14.5
2020 06 03  2.5  0.44 15.0  14.5
2020 06 03  3.2  0.43 15.0  14.6
2020 06 03  2.9  0.41 15.0  14.6
2020 06 03  2.9  0.41 15.2  14.6
2020 06 03  2.4  0.42 15.3  14.6
2020 06 03  2.4  0.44 15.4  14.8
2020 06 03  2.2  0.43 15.4  14.8
2020 06 03  2.2  0.40 15.6  14.8
2020 06 03  1.4  0.38 15.7  14.8
2020 06 03  1.1  0.39 15.8  14.7
2020 06 03  0.9  0.39 15.8  14.7
2020 06 03  0.4  0.37 16.0  14.8
2020 06 03  0.6  0.36 16.3  14.8
2020 06 03  0.6  0.34 16.5  14.6
2020 06 03  0.7  0.37 16.6  14.7
2020 06 03  1.3  0.36 16.7  14.8
2020 06 03  3.3  0.36 16.4  14.8
2020 06 03  3.0  0.33 16.1  14.8
2020 06 03  3.6  0.33 15.9  14.7
2020 06 03  3.6  0.30 15.7  15.1
2020 06 03  3.6  0.29 15.5  15.2
2020 06 03  3.9  0.31 15.5  15.1
2020 06 03  3.5  0.29 15.5  15.2
2020 06 03  3.0  0.32 15.5  15.1
2020 06 04  2.8  0.31 15.5  15.1
2020 06 04  2.7  0.34 15.5  15.0
2020 06 04  2.8  0.33 15.5  15.1
2020 06 04  3.3  0.32 15.4  15.0
2020 06 04  3.2  0.28 15.4  15.0
2020 06 04  3.4  0.29 15.4  15.0
2020 06 04  3.6  0.29 15.4  15.0
2020 06 04  3.4  0.28 15.4  14.9
2020 06 04  3.4  0.29 15.3  15.0
2020 06 04  3.7  0.27 15.3  14.9
2020 06 04  3.6  0.28 15.3  14.9
2020 06 04  3.6  0.30 15.3  14.9
2020 06 04  3.5  0.26 15.3  14.9
2020 06 04  2.8  0.27 15.4  14.8
2020 06 04  2.9  0.28 15.3  14.8
2020 06 04  3.3  0.27 15.4  14.8
2020 06 04  3.4  0.28 15.5  14.8
2020 06 04  2.6  0.28 15.5  14.8
